art_id,token
73,"[('안', 'MAG'), ('오', 'VV'), ('다', 'EC')]"
73,"[('하', 'VV'), ('고', 'EC')]"
74,"[('php', 'SL'), ('에서', 'JKB')]"
74,"[('java', 'SL'), ('전향', 'NNG')]"
74,"[('어떻', 'VA'), ('게', 'EC')]"
74,"[('해야', 'VV+EC'), ('할까요', 'VX+EC')]"
75,"[('공부', 'NNG'), ('방법', 'NNG')]"
75,"[('질문', 'NNG'), ('입니다', 'VCP+EC')]"
76,"[('오늘', 'NNG')]"
76,"[('플젝', 'NNP')]"
76,"[('받', 'VV'), ('았', 'EP'), ('는데', 'EC')]"
77,"[('프리', 'NNG'), ('분', 'NNB'), ('들', 'XSN')]"
77,"[('단가', 'NNG+VCP+EC')]"
77,"[('이야기', 'NNG')]"
77,"[('보', 'VV'), ('고', 'EC')]"
78,"[('대학교', 'NNG')]"
78,"[('2학년', 'NNP')]"
78,"[('질문', 'NNG')]"
78,"[('있', 'VA'), ('습니다', 'EF')]"
79,"[('안녕', 'NNG'), ('하', 'XSV'), ('세요', 'EP+EF')]"
79,"[('국비', 'NNG')]"
79,"[('커', 'VA+EC'), ('리좀', 'NNP')]"
79,"[('봐주시면', 'VV+EP+EC')]"
79,"[('감사', 'NNG'), ('하', 'XSV'), ('겠', 'EP'), ('습니다', 'EF')]"
80,"[('근데', 'MAJ')]"
80,"[('학원', 'NNG'), ('수업', 'NNG'), ('만', 'JX')]"
80,"[('잘', 'MAG'), ('들어도', 'VV+EC')]"
80,"[('실무', 'NNG'), ('따라가', 'VV'), ('는데', 'EC')]"
80,"[('문제', 'NNG'), ('없', 'VA'), ('지', 'EC'), ('않', 'VX'), ('나요', 'EC')]"
81,"[('능력', 'NNG'), ('없', 'VA'), ('는', 'ETM')]"
81,"[('신입', 'NNG'), ('으로서', 'JKB')]"
81,"[('창피', 'XR'), ('하', 'XSA'), ('네요', 'EC')]"
82,"[('vscode', 'SL'), ('에서', 'JKB')]"
82,"[('리액트', 'NNP')]"
82,"[('styledcomponent', 'SL')]"
82,"[('익스텐션', 'NNP')]"
82,"[('사용', 'NNG'), ('하', 'XSV'), ('는데', 'EC')]"
82,"[('코드', 'NNG'), ('색상', 'NNG'), ('이', 'JKS')]"
82,"[('왜', 'MAG')]"
82,"[('이상', 'NNG'), ('해질까', 'XSA+EC+VX+EC'), ('요', 'JX')]"
83,"[('인원수', 'NNG')]"
83,"[('작', 'VA'), ('은', 'ETM')]"
83,"[('회사', 'NNG'), ('에', 'JKB')]"
83,"[('대해서', 'VV+EC')]"
83,"[('어떻', 'VA'), ('게', 'EC')]"
83,"[('생각', 'NNG'), ('하', 'XSV'), ('시', 'EP'), ('나요', 'EC')]"
84,"[('프론트엔드', 'NNP')]"
84,"[('개발자', 'NNG')]"
84,"[('시키', 'VV'), ('는', 'ETM'), ('거', 'NNB'), ('만', 'JX')]"
84,"[('하', 'VV'), ('는', 'ETM'), ('게', 'NNB+JKS')]"
84,"[('맞', 'VV'), ('는', 'ETM'), ('걸까요', 'NNB+VCP+EC')]"
85,"[('비전공자', 'NNP')]"
85,"[('국비', 'NNG'), ('교육', 'NNG')]"
85,"[('vs', 'SL')]"
85,"[('부트', 'NNG'), ('캠프', 'NNG')]"
85,"[('vs', 'SL')]"
85,"[('혼자', 'NNG')]"
85,"[('포폴', 'NNP')]"
